t,h,error_ratio,accepted,newton_updates_completed_solves,failure
0.0036329893125061404,4.523139229500517e-06,0.7342584827470731,True,3,
0.003637512451735641,4.75070408239502e-06,0.7385428233576166,True,3,
0.003642263155818036,4.9752241016359035e-06,0.7424620903318964,True,3,
0.0036472383799196722,5.196584758969499e-06,0.7460609998105947,True,3,
0.0036524349646786416,5.41468698442321e-06,0.7493770699433312,True,3,
0.003657849651663065,5.629446098217144e-06,0.7524420179949791,True,3,
0.003663479097761282,5.840790846489146e-06,0.7552828466308948,True,3,
0.003669319888607771,6.0486625121377095e-06,0.757922696605581,True,3,
0.003675368551119909,6.2530140814024e-06,0.7603815219038492,True,3,
0.0036816215652013115,6.453809453738244e-06,0.7626766288032594,True,3,
0.00368807537465505,6.651022686492981e-06,0.7648231094701426,True,3,
0.003694726397341543,6.844637269514621e-06,0.7668341932401891,True,3,
0.003701571034611058,7.034645426764399e-06,0.7687215331028446,True,3,
0.0037086056800378223,7.221047443462218e-06,0.7704954407788458,True,3,
0.0037158267274812846,7.403851018335373e-06,0.7721650807825697,True,3,
0.00372323057849962,7.583070640937644e-06,0.7737386315032193,True,3,
0.0037308136491405576,7.758726994397495e-06,0.7752234195651004,True,3,
0.003738572376134955,7.930846384342765e-06,0.7766260325813498,True,3,
0.0037465032225192977,8.099460194090895e-06,0.777952414084504,True,3,
0.0037546026827133885,8.264604366953665e-06,0.7792079439361363,True,3,
0.003762867287080342,8.42631891567097e-06,0.7803975066767773,True,3,
0.003771293605996013,8.584647459208568e-06,0.7815255498835114,True,3,
0.0037798782534552216,8.739636786905548e-06,0.7825961342159818,True,3,
0.003788617890242127,8.891336449698219e-06,0.7836129764923919,True,3,
0.0037975092266918256,9.039798378070336e-06,0.7845794869162326,True,3,
0.003806549025069896,9.185076526187686e-06,0.7854988013560467,True,3,
0.003815734101596084,9.327226541620882e-06,0.786373809470489,True,3,
0.0038250613281377048,9.466305459739907e-06,0.7872071792794887,True,3,
0.003834527633597445,9.602371421917435e-06,0.7880013786743281,True,3,
0.0038441300050193624,9.735483416789069e-06,0.7887586943850071,True,3,
0.0038538654884361515,9.86570104327133e-06,0.7894812487207786,True,3,
0.0038637311894794226,9.993084294285203e-06,0.7901710143277969,True,3,
0.003873724273773708,1.0117693360520193e-05,0.7908298274112467,True,3,
0.003883841967134228,1.0239588452388339e-05,0.7914593994110393,True,3,
0.0038940815555866164,1.0358829639758866e-05,0.7920613274791695,True,3,
0.0039044403852263754,1.0475476708073295e-05,0.792637103900738,True,3,
0.003914915861934449,1.058958902954573e-05,0.7931881244781052,True,3,
0.003925505450963995,1.0701225448948602e-05,0.7937156961751206,True,3,
0.003936206676412943,1.0810444182332876e-05,0.7942210439483846,True,3,
0.0039470171205952765,1.0917302728208054e-05,0.7947053169680056,True,3,
0.0039579344233234845,1.1021857789982235e-05,0.795169594280806,True,3,
0.003968956281113467,1.1124165208636367e-05,0.7956148899017306,True,3,
0.003980080446322103,1.1224279905199724e-05,0.7960421575118531,True,3,
0.0039913047262273025,1.13222558317993e-05,0.7964522947295568,True,3,
0.004002626982059102,1.141814593066286e-05,0.7968461470057022,True,3,
0.0040140451279897646,1.1512002100453113e-05,0.7972245112096624,True,3,
0.004025557130090218,1.16038751691471e-05,0.7975881389224212,True,3,
0.004037161005259365,1.1693814872833897e-05,0.7979377394603387,True,3,
0.004048854820132199,1.1781869839886302e-05,0.7982739826599284,True,3,
0.004060636689972086,1.1868087579970298e-05,0.7985975014519708,True,3,
0.004072504777552056,1.1952514477353293e-05,0.7989088942359508,True,3,
0.004084457292029409,1.203519578807624e-05,0.7992087270906163,True,3,
0.004096492487817485,1.2116175640456413e-05,0.7994975357775459,True,3,
0.004108608663457942,1.2195497038866348e-05,0.7997758276851132,True,3,
0.004120804160496808,1.2273201869761913e-05,0.8000440835167015,True,3,
0.00413307736236657,1.2349330910541871e-05,0.8003027589865895,True,3,
0.004145426693277112,1.2423923839937989e-05,0.8005522862884558,True,3,
0.0041578506171170496,1.249701925052869e-05,0.8007930755189838,True,3,
0.004170347636367578,1.2568654662675203e-05,0.801025516027886,True,3,
0.004182916291030253,1.2638866539473313e-05,0.80124997760754,True,3,
0.0041955551575697265,1.2707690303076677e-05,0.8014668116533715,True,3,
0.004208262847872803,1.2775160351800904e-05,0.8016763522455447,True,3,
0.004221038008224604,1.2841310077864435e-05,0.8018789171599354,True,3,
0.004233879318302469,1.2906171885622073e-05,0.8020748087786215,True,3,
0.004246785490188091,1.296977721044549e-05,0.8022643150072313,True,3,
0.004259755267398536,1.3032156537596756e-05,0.802447710073263,True,3,
0.004272787423936133,1.3093339421496399e-05,0.8026252553221656,True,3,
0.0042858807633576294,1.3153354504893847e-05,0.802797199933131,True,3,
0.004299034117862523,1.3212229538116953e-05,0.802963781610123,True,3,
0.00431224634740064,1.3269991398165411e-05,0.8031252272182466,True,3,
0.004325516338798806,1.3326666107690013e-05,0.8032817534009665,True,3,
0.0043388430049064956,1.3382278853639425e-05,0.8034335671472664,True,3,
0.004352225283760135,1.3436854005638843e-05,0.803580866321881,True,3,
0.004365662137765774,1.3490415134085514e-05,0.8037238401830148,True,3,
0.0043791525528998594,1.3542985027766246e-05,0.8038626698603533,True,3,
0.0043926955379276255,1.3594585711050213e-05,0.8039975288071607,True,3,
0.004406290123638676,1.3645238460617333e-05,0.804128583221431,True,3,
0.004419935362099293,1.369496382174466e-05,0.8042559924684304,True,3,
0.004433630325921038,1.3743781623916312e-05,0.804379909449761,True,3,
0.004447374107544954,1.379171099600375e-05,0.8045004809797411,True,3,
0.004461165818540958,1.3838770380763175e-05,0.8046178481219406,True,3,
0.004475004588921721,1.3884977548811585e-05,0.8047321465278423,True,3,
0.004488889566470532,1.3930349611897677e-05,0.8048435067456722,True,3,
